book_authors,book_title,genres,comb
Suzanne Collins,the hunger games,Young Adult Fiction Science Fiction Dystopia Fantasy Science Fiction,Suzanne Collins the hunger games Young Adult Fiction Science Fiction Dystopia Fantasy Science Fiction
J.K. Rowling Mary GrandPré,harry potter and the order of the phoenix,Fantasy Young Adult Fiction,J.K. Rowling Mary GrandPré harry potter and the order of the phoenix Fantasy Young Adult Fiction
Harper Lee,to kill a mockingbird,Classics Fiction Historical Historical Fiction Academic School,Harper Lee to kill a mockingbird Classics Fiction Historical Historical Fiction Academic School
Jane Austen Anna Quindlen Mrs. Oliphant George Saintsbury Mark Twain A.C. Bradley Walter A. Raleigh Virginia Woolf,pride and prejudice,Classics Fiction Romance,Jane Austen Anna Quindlen Mrs. Oliphant George Saintsbury Mark Twain A.C. Bradley Walter A. Raleigh Virginia Woolf pride and prejudice Classics Fiction Romance
Stephenie Meyer,twilight,Young Adult Fantasy Romance Paranormal Vampires Fiction Fantasy Paranormal,Stephenie Meyer twilight Young Adult Fantasy Romance Paranormal Vampires Fiction Fantasy Paranormal
Markus Zusak,the book thief,Historical Historical Fiction Fiction Young Adult,Markus Zusak the book thief Historical Historical Fiction Fiction Young Adult
C.S. Lewis Pauline Baynes,the chronicles of narnia,Fantasy Classics Fiction Young Adult Childrens,C.S. Lewis Pauline Baynes the chronicles of narnia Fantasy Classics Fiction Young Adult Childrens
George Orwell,animal farm,Classics Fiction Science Fiction Dystopia Fantasy Literature Academic School Politics Science Fiction Novels Academic Read For School,George Orwell animal farm Classics Fiction Science Fiction Dystopia Fantasy Literature Academic School Politics Science Fiction Novels Academic Read For School
Margaret Mitchell,gone with the wind,Classics Historical Historical Fiction Fiction Romance Historical,Margaret Mitchell gone with the wind Classics Historical Historical Fiction Fiction Romance Historical
J.R.R. Tolkien,j.r.r. tolkien 4-book boxed set: the hobbit and the lord of the rings,Fantasy Fiction Classics,J.R.R. Tolkien j.r.r. tolkien 4-book boxed set: the hobbit and the lord of the rings Fantasy Fiction Classics
John Green,the fault in our stars,Young Adult Fiction Romance Contemporary,John Green the fault in our stars Young Adult Fiction Romance Contemporary
Douglas Adams,the hitchhiker's guide to the galaxy,Science Fiction Fiction Humor Fantasy Classics,Douglas Adams the hitchhiker's guide to the galaxy Science Fiction Fiction Humor Fantasy Classics
Shel Silverstein,the giving tree,Childrens Childrens Picture Books Classics Fiction,Shel Silverstein the giving tree Childrens Childrens Picture Books Classics Fiction
Emily Brontë Richard J. Dunn David Timson Charlotte Brontë Ruth Golding Robert Heindel,wuthering heights,Classics Fiction Romance Literature,Emily Brontë Richard J. Dunn David Timson Charlotte Brontë Ruth Golding Robert Heindel wuthering heights Classics Fiction Romance Literature
Dan Brown,the da vinci code,Fiction Mystery Thriller,Dan Brown the da vinci code Fiction Mystery Thriller
Arthur Golden,memoirs of a geisha,Fiction Historical Historical Fiction Romance Historical,Arthur Golden memoirs of a geisha Fiction Historical Historical Fiction Romance Historical
Lewis Carroll John Tenniel Martin Gardner,alice's adventures in wonderland & through the looking-glass,Classics Fantasy Fiction Childrens,Lewis Carroll John Tenniel Martin Gardner alice's adventures in wonderland & through the looking-glass Classics Fantasy Fiction Childrens
Oscar Wilde Jeffrey Eugenides,the picture of dorian gray,Fiction Classics Horror Fantasy Literature Gothic Novels Literature 19th Century Classics Classic Literature European Literature British Literature,Oscar Wilde Jeffrey Eugenides the picture of dorian gray Fiction Classics Horror Fantasy Literature Gothic Novels Literature 19th Century Classics Classic Literature European Literature British Literature
Victor Hugo Lee Fahnestock Norman MacAfee,les misérables,Classics Fiction Historical Historical Fiction Literature,Victor Hugo Lee Fahnestock Norman MacAfee les misérables Classics Fiction Historical Historical Fiction Literature
Veronica Roth,divergent,Young Adult Science Fiction Dystopia Fiction Fantasy,Veronica Roth divergent Young Adult Science Fiction Dystopia Fiction Fantasy
Charlotte Brontë Michael Mason,jane eyre,Classics Fiction Romance Historical Historical Fiction Literature Gothic Historical Literature 19th Century Classics Classic Literature Academic School,Charlotte Brontë Michael Mason jane eyre Classics Fiction Romance Historical Historical Fiction Literature Gothic Historical Literature 19th Century Classics Classic Literature Academic School
William Shakespeare Barbara A. Mowat Paul Werstine,romeo and juliet,Classics Plays Fiction Romance Academic School Drama Academic Read For School Literature Young Adult High School Poetry,William Shakespeare Barbara A. Mowat Paul Werstine romeo and juliet Classics Plays Fiction Romance Academic School Drama Academic Read For School Literature Young Adult High School Poetry
William Golding,lord of the flies,Classics Fiction Young Adult Academic School Literature,William Golding lord of the flies Classics Fiction Young Adult Academic School Literature
Paulo Coelho Alan R. Clarke Özdemir İnce,the alchemist,Fiction Classics Fantasy Philosophy Novels Spirituality Literature Inspirational Adventure Self Help,Paulo Coelho Alan R. Clarke Özdemir İnce the alchemist Fiction Classics Fantasy Philosophy Novels Spirituality Literature Inspirational Adventure Self Help
Fyodor Dostoyevsky David McDuff,crime and punishment,Classics Fiction Cultural Russia Literature Literature Russian Literature,Fyodor Dostoyevsky David McDuff crime and punishment Classics Fiction Cultural Russia Literature Literature Russian Literature
Orson Scott Card,ender's game,Science Fiction Fiction Young Adult Fantasy,Orson Scott Card ender's game Science Fiction Fiction Young Adult Fantasy
Stephen Chbosky,the perks of being a wallflower,Young Adult Fiction Contemporary,Stephen Chbosky the perks of being a wallflower Young Adult Fiction Contemporary
Cassandra Clare Franca Fritz Heinrich Koop Franka Fritz,city of bones,Fantasy Young Adult Fantasy Paranormal Romance,Cassandra Clare Franca Fritz Heinrich Koop Franka Fritz city of bones Fantasy Young Adult Fantasy Paranormal Romance
Kathryn Stockett,the help,Fiction Historical Historical Fiction Historical Adult,Kathryn Stockett the help Fiction Historical Historical Fiction Historical Adult
F. Scott Fitzgerald,the great gatsby,Classics Fiction Academic School Literature Historical Historical Fiction Romance Novels Academic Read For School Young Adult High School Literature American,F. Scott Fitzgerald the great gatsby Classics Fiction Academic School Literature Historical Historical Fiction Romance Novels Academic Read For School Young Adult High School Literature American
Audrey Niffenegger,the time traveler's wife,Fiction Romance Fantasy Science Fiction Time Travel Science Fiction,Audrey Niffenegger the time traveler's wife Fiction Romance Fantasy Science Fiction Time Travel Science Fiction
E.B. White Garth Williams Rosemary Wells,charlotte's web,Classics Childrens Fiction,E.B. White Garth Williams Rosemary Wells charlotte's web Classics Childrens Fiction
L.M. Montgomery,anne of green gables,Classics Fiction Young Adult Childrens Historical Historical Fiction Historical Cultural Canada Childrens Middle Grade Audiobook Young Adult Coming Of Age,L.M. Montgomery anne of green gables Classics Fiction Young Adult Childrens Historical Historical Fiction Historical Cultural Canada Childrens Middle Grade Audiobook Young Adult Coming Of Age
John Steinbeck,of mice and men,Classics Fiction Academic School Literature Historical Historical Fiction,John Steinbeck of mice and men Classics Fiction Academic School Literature Historical Historical Fiction
Bram Stoker Nina Auerbach David J. Skal,dracula,Classics Horror Fiction Fantasy Paranormal Vampires,Bram Stoker Nina Auerbach David J. Skal dracula Classics Horror Fiction Fantasy Paranormal Vampires
Aldous Huxley,brave new world,Classics Fiction Science Fiction Science Fiction Dystopia Literature Novels Academic School Fantasy Science Fiction Fantasy Philosophy,Aldous Huxley brave new world Classics Fiction Science Fiction Science Fiction Dystopia Literature Novels Academic School Fantasy Science Fiction Fantasy Philosophy
Gabriel García Márquez Gregory Rabassa,one hundred years of solitude,Fiction Classics Magical Realism Literature,Gabriel García Márquez Gregory Rabassa one hundred years of solitude Fiction Classics Magical Realism Literature
Antoine de Saint-Exupéry Richard Howard Dom Marcos Barbosa Melina Karakosta,the little prince,Classics Fiction Fantasy Childrens,Antoine de Saint-Exupéry Richard Howard Dom Marcos Barbosa Melina Karakosta the little prince Classics Fiction Fantasy Childrens
William Goldman,the princess bride,Fantasy Fiction Classics Romance Humor Young Adult,William Goldman the princess bride Fantasy Fiction Classics Romance Humor Young Adult
Frances Hodgson Burnett,the secret garden,Classics Fiction Childrens Young Adult Historical Historical Fiction Childrens Middle Grade Literature Fantasy Historical Novels,Frances Hodgson Burnett the secret garden Classics Fiction Childrens Young Adult Historical Historical Fiction Childrens Middle Grade Literature Fantasy Historical Novels
J.D. Salinger,the catcher in the rye,Classics Fiction Young Adult Literature,J.D. Salinger the catcher in the rye Classics Fiction Young Adult Literature
Khaled Hosseini,a thousand splendid suns,Fiction Historical Historical Fiction,Khaled Hosseini a thousand splendid suns Fiction Historical Historical Fiction
Madeleine L'Engle,a wrinkle in time,Fantasy Young Adult Fiction Classics Science Fiction Childrens,Madeleine L'Engle a wrinkle in time Fantasy Young Adult Fiction Classics Science Fiction Childrens
Ray Bradbury Alfredo Crespo,fahrenheit 451,Classics Fiction Science Fiction Science Fiction Dystopia,Ray Bradbury Alfredo Crespo fahrenheit 451 Classics Fiction Science Fiction Science Fiction Dystopia
George R.R. Martin,a game of thrones,Fantasy Fiction Fantasy Epic Fantasy,George R.R. Martin a game of thrones Fantasy Fiction Fantasy Epic Fantasy
Rick Riordan,the lightning thief,Fantasy Young Adult Fantasy Mythology Fiction,Rick Riordan the lightning thief Fantasy Young Adult Fantasy Mythology Fiction
Mark Twain Guy Cardwell John Seelye,the adventures of huckleberry finn,Classics Fiction Historical Historical Fiction Literature Young Adult,Mark Twain Guy Cardwell John Seelye the adventures of huckleberry finn Classics Fiction Historical Historical Fiction Literature Young Adult
Alice Sebold,the lovely bones,Fiction Mystery Young Adult Contemporary,Alice Sebold the lovely bones Fiction Mystery Young Adult Contemporary
Maurice Sendak,where the wild things are,Childrens Childrens Picture Books Fiction Classics,Maurice Sendak where the wild things are Childrens Childrens Picture Books Fiction Classics
Dr. Seuss,green eggs and ham,Childrens Childrens Picture Books Classics Fiction,Dr. Seuss green eggs and ham Childrens Childrens Picture Books Classics Fiction
J.K. Rowling Mary GrandPré,harry potter and the sorcerer's stone,Fantasy Young Adult Fiction,J.K. Rowling Mary GrandPré harry potter and the sorcerer's stone Fantasy Young Adult Fiction
Yann Martel,life of pi,Fiction Fantasy Classics Adventure,Yann Martel life of pi Fiction Fantasy Classics Adventure
Charles Dickens Richard Maxwell Hablot Knight Browne,a tale of two cities,Classics Fiction Historical Historical Fiction Literature,Charles Dickens Richard Maxwell Hablot Knight Browne a tale of two cities Classics Fiction Historical Historical Fiction Literature
S.E. Hinton,the outsiders,Classics Young Adult Fiction Academic School,S.E. Hinton the outsiders Classics Young Adult Fiction Academic School
Sara Gruen,water for elephants,Fiction Historical Historical Fiction Romance Historical,Sara Gruen water for elephants Fiction Historical Historical Fiction Romance Historical
Homer Robert Fagles Bernard Knox,the odyssey,Classics Fiction Poetry Fantasy Mythology Fantasy Academic School Literature Adventure Academic Read For School Historical Historical Fiction,Homer Robert Fagles Bernard Knox the odyssey Classics Fiction Poetry Fantasy Mythology Fantasy Academic School Literature Adventure Academic Read For School Historical Historical Fiction
Vladimir Nabokov Craig Raine,lolita,Classics Fiction Literature,Vladimir Nabokov Craig Raine lolita Classics Fiction Literature
Kurt Vonnegut,slaughterhouse-five,Classics Fiction Science Fiction War,Kurt Vonnegut slaughterhouse-five Classics Fiction Science Fiction War
Joseph Heller,catch-22,Classics Fiction War Historical Historical Fiction Humor,Joseph Heller catch-22 Classics Fiction War Historical Historical Fiction Humor
Mary Wollstonecraft Shelley Percy Bysshe Shelley Maurice Hindle,frankenstein,Classics Fiction Horror Science Fiction Gothic Fantasy Literature Academic School Novels Literature 19th Century,Mary Wollstonecraft Shelley Percy Bysshe Shelley Maurice Hindle frankenstein Classics Fiction Horror Science Fiction Gothic Fantasy Literature Academic School Novels Literature 19th Century
Khaled Hosseini,the kite runner,Fiction Historical Historical Fiction Contemporary,Khaled Hosseini the kite runner Fiction Historical Historical Fiction Contemporary
Ken Follett,the pillars of the earth,Historical Historical Fiction Fiction Historical,Ken Follett the pillars of the earth Historical Historical Fiction Fiction Historical
Stephen King Bernie Wrightson,the stand,Horror Fiction Fantasy Science Fiction Apocalyptic Post Apocalyptic,Stephen King Bernie Wrightson the stand Horror Fiction Fantasy Science Fiction Apocalyptic Post Apocalyptic
Lois Lowry,the giver,Young Adult Fiction Classics Science Fiction Dystopia Science Fiction,Lois Lowry the giver Young Adult Fiction Classics Science Fiction Dystopia Science Fiction
Richard  Adams,watership down,Classics Fiction Fantasy Young Adult Animals,Richard  Adams watership down Classics Fiction Fantasy Young Adult Animals
Margaret Atwood,the handmaid's tale,Fiction Classics Science Fiction Dystopia Science Fiction Feminism,Margaret Atwood the handmaid's tale Fiction Classics Science Fiction Dystopia Science Fiction Feminism
Arthur Conan Doyle,the adventures of sherlock holmes,Classics Mystery Fiction Short Stories Mystery Crime Mystery Detective Literature Adventure Literature 19th Century Historical Historical Fiction,Arthur Conan Doyle the adventures of sherlock holmes Classics Mystery Fiction Short Stories Mystery Crime Mystery Detective Literature Adventure Literature 19th Century Historical Historical Fiction
